Id,Dataset,Filepath,Filename,Ext,Speaker,Text,Gender,Age,Emotion
6077,MELD,./dataset/meld\train\dia0_utt0.mp4,dia0_utt0.mp4,.mp4,Meld_Chandler,also I was the point person on my companys transition from the KL-5 to GR-6 system.,Male,29,Neutral
6078,MELD,./dataset/meld\train\dia0_utt1.mp4,dia0_utt1.mp4,.mp4,Meld_The Interviewer,You mustve had your hands full.,,,Neutral
6079,MELD,./dataset/meld\train\dia0_utt10.mp4,dia0_utt10.mp4,.mp4,Meld_Chandler,No dont I beg of you!,Male,29,Fear
6080,MELD,./dataset/meld\train\dia0_utt11.mp4,dia0_utt11.mp4,.mp4,Meld_The Interviewer,"All right then, well have a definite answer for you on Monday, but I think I can say with some confidence, youll fit in well here.",,,Neutral
6081,MELD,./dataset/meld\train\dia0_utt12.mp4,dia0_utt12.mp4,.mp4,Meld_Chandler,Really?!,Male,29,Surprise
6082,MELD,./dataset/meld\train\dia0_utt13.mp4,dia0_utt13.mp4,.mp4,Meld_The Interviewer,Absolutely.  You can relax,,,Neutral
6083,MELD,./dataset/meld\train\dia0_utt2.mp4,dia0_utt2.mp4,.mp4,Meld_Chandler,That I did. That I did.,Male,29,Neutral
6084,MELD,./dataset/meld\train\dia0_utt3.mp4,dia0_utt3.mp4,.mp4,Meld_The Interviewer,So lets talk a little bit about your duties.,,,Neutral
6085,MELD,./dataset/meld\train\dia0_utt4.mp4,dia0_utt4.mp4,.mp4,Meld_Chandler,My duties?  All right.,Male,29,Surprise
6086,MELD,./dataset/meld\train\dia0_utt5.mp4,dia0_utt5.mp4,.mp4,Meld_The Interviewer,"Now youll be heading a whole division, so youll have a lot of duties.",,,Neutral
6087,MELD,./dataset/meld\train\dia0_utt6.mp4,dia0_utt6.mp4,.mp4,Meld_Chandler,I see.,Male,29,Neutral
6088,MELD,./dataset/meld\train\dia0_utt7.mp4,dia0_utt7.mp4,.mp4,Meld_The Interviewer,But therell be perhaps 30 people under you so you can dump a certain amount on them.,,,Neutral
6089,MELD,./dataset/meld\train\dia0_utt8.mp4,dia0_utt8.mp4,.mp4,Meld_Chandler,Good to know.,Male,29,Neutral
6090,MELD,./dataset/meld\train\dia0_utt9.mp4,dia0_utt9.mp4,.mp4,Meld_The Interviewer,We can go into detail,,,Neutral
6091,MELD,./dataset/meld\train\dia1000_utt0.mp4,dia1000_utt0.mp4,.mp4,Meld_Monica,Would you look at this dump? He hated us. This is his final revenge!,Female,35,Disgust
6092,MELD,./dataset/meld\train\dia1000_utt1.mp4,dia1000_utt1.mp4,.mp4,Meld_Rachel,Have you ever seen so much crap?,Female,30,Disgust
