Id,Dataset,Filepath,Filename,Ext,Speaker,Text,Gender,Age,Emotion
0,CREMA-D,./dataset/crema-d\AudioWAV\1001_DFA_ANG_XX.wav,1001_DFA_ANG_XX.wav,.wav,Crema_1001,Don't forget a jacket,Male,51,Anger
1,CREMA-D,./dataset/crema-d\AudioWAV\1001_DFA_DIS_XX.wav,1001_DFA_DIS_XX.wav,.wav,Crema_1001,Don't forget a jacket,Male,51,Disgust
2,CREMA-D,./dataset/crema-d\AudioWAV\1001_DFA_FEA_XX.wav,1001_DFA_FEA_XX.wav,.wav,Crema_1001,Don't forget a jacket,Male,51,Fear
3,CREMA-D,./dataset/crema-d\AudioWAV\1001_DFA_HAP_XX.wav,1001_DFA_HAP_XX.wav,.wav,Crema_1001,Don't forget a jacket,Male,51,Happy
4,CREMA-D,./dataset/crema-d\AudioWAV\1001_DFA_NEU_XX.wav,1001_DFA_NEU_XX.wav,.wav,Crema_1001,Don't forget a jacket,Male,51,Neutral
5,CREMA-D,./dataset/crema-d\AudioWAV\1001_DFA_SAD_XX.wav,1001_DFA_SAD_XX.wav,.wav,Crema_1001,Don't forget a jacket,Male,51,Sad
6,CREMA-D,./dataset/crema-d\AudioWAV\1001_IEO_NEU_XX.wav,1001_IEO_NEU_XX.wav,.wav,Crema_1001,It's eleven o'clock,Male,51,Neutral
7,CREMA-D,./dataset/crema-d\AudioWAV\1001_IOM_ANG_XX.wav,1001_IOM_ANG_XX.wav,.wav,Crema_1001,I'm on my way to the meeting,Male,51,Anger
8,CREMA-D,./dataset/crema-d\AudioWAV\1001_IOM_DIS_XX.wav,1001_IOM_DIS_XX.wav,.wav,Crema_1001,I'm on my way to the meeting,Male,51,Disgust
9,CREMA-D,./dataset/crema-d\AudioWAV\1001_IOM_FEA_XX.wav,1001_IOM_FEA_XX.wav,.wav,Crema_1001,I'm on my way to the meeting,Male,51,Fear
10,CREMA-D,./dataset/crema-d\AudioWAV\1001_IOM_HAP_XX.wav,1001_IOM_HAP_XX.wav,.wav,Crema_1001,I'm on my way to the meeting,Male,51,Happy
11,CREMA-D,./dataset/crema-d\AudioWAV\1001_IOM_NEU_XX.wav,1001_IOM_NEU_XX.wav,.wav,Crema_1001,I'm on my way to the meeting,Male,51,Neutral
12,CREMA-D,./dataset/crema-d\AudioWAV\1001_IOM_SAD_XX.wav,1001_IOM_SAD_XX.wav,.wav,Crema_1001,I'm on my way to the meeting,Male,51,Sad
13,CREMA-D,./dataset/crema-d\AudioWAV\1001_ITH_ANG_XX.wav,1001_ITH_ANG_XX.wav,.wav,Crema_1001,I think I have a doctor's appointment,Male,51,Anger
14,CREMA-D,./dataset/crema-d\AudioWAV\1001_ITH_DIS_XX.wav,1001_ITH_DIS_XX.wav,.wav,Crema_1001,I think I have a doctor's appointment,Male,51,Disgust
15,CREMA-D,./dataset/crema-d\AudioWAV\1001_ITH_FEA_XX.wav,1001_ITH_FEA_XX.wav,.wav,Crema_1001,I think I have a doctor's appointment,Male,51,Fear
16,CREMA-D,./dataset/crema-d\AudioWAV\1001_ITH_HAP_XX.wav,1001_ITH_HAP_XX.wav,.wav,Crema_1001,I think I have a doctor's appointment,Male,51,Happy
17,CREMA-D,./dataset/crema-d\AudioWAV\1001_ITH_NEU_XX.wav,1001_ITH_NEU_XX.wav,.wav,Crema_1001,I think I have a doctor's appointment,Male,51,Neutral
18,CREMA-D,./dataset/crema-d\AudioWAV\1001_ITH_SAD_XX.wav,1001_ITH_SAD_XX.wav,.wav,Crema_1001,I think I have a doctor's appointment,Male,51,Sad
19,CREMA-D,./dataset/crema-d\AudioWAV\1001_ITS_ANG_XX.wav,1001_ITS_ANG_XX.wav,.wav,Crema_1001,I think I've seen this before,Male,51,Anger
20,CREMA-D,./dataset/crema-d\AudioWAV\1001_ITS_DIS_XX.wav,1001_ITS_DIS_XX.wav,.wav,Crema_1001,I think I've seen this before,Male,51,Disgust
21,CREMA-D,./dataset/crema-d\AudioWAV\1001_ITS_FEA_XX.wav,1001_ITS_FEA_XX.wav,.wav,Crema_1001,I think I've seen this before,Male,51,Fear
22,CREMA-D,./dataset/crema-d\AudioWAV\1001_ITS_HAP_XX.wav,1001_ITS_HAP_XX.wav,.wav,Crema_1001,I think I've seen this before,Male,51,Happy
23,CREMA-D,./dataset/crema-d\AudioWAV\1001_ITS_NEU_XX.wav,1001_ITS_NEU_XX.wav,.wav,Crema_1001,I think I've seen this before,Male,51,Neutral
24,CREMA-D,./dataset/crema-d\AudioWAV\1001_ITS_SAD_XX.wav,1001_ITS_SAD_XX.wav,.wav,Crema_1001,I think I've seen this before,Male,51,Sad
25,CREMA-D,./dataset/crema-d\AudioWAV\1001_IWL_ANG_XX.wav,1001_IWL_ANG_XX.wav,.wav,Crema_1001,I would like a new alarm clock,Male,51,Anger
26,CREMA-D,./dataset/crema-d\AudioWAV\1001_IWL_DIS_XX.wav,1001_IWL_DIS_XX.wav,.wav,Crema_1001,I would like a new alarm clock,Male,51,Disgust
27,CREMA-D,./dataset/crema-d\AudioWAV\1001_IWL_FEA_XX.wav,1001_IWL_FEA_XX.wav,.wav,Crema_1001,I would like a new alarm clock,Male,51,Fear
28,CREMA-D,./dataset/crema-d\AudioWAV\1001_IWL_HAP_XX.wav,1001_IWL_HAP_XX.wav,.wav,Crema_1001,I would like a new alarm clock,Male,51,Happy
29,CREMA-D,./dataset/crema-d\AudioWAV\1001_IWL_NEU_XX.wav,1001_IWL_NEU_XX.wav,.wav,Crema_1001,I would like a new alarm clock,Male,51,Neutral
30,CREMA-D,./dataset/crema-d\AudioWAV\1001_IWL_SAD_XX.wav,1001_IWL_SAD_XX.wav,.wav,Crema_1001,I would like a new alarm clock,Male,51,Sad
31,CREMA-D,./dataset/crema-d\AudioWAV\1001_IWW_ANG_XX.wav,1001_IWW_ANG_XX.wav,.wav,Crema_1001,I wonder what this is about,Male,51,Anger
32,CREMA-D,./dataset/crema-d\AudioWAV\1001_IWW_DIS_XX.wav,1001_IWW_DIS_XX.wav,.wav,Crema_1001,I wonder what this is about,Male,51,Disgust
33,CREMA-D,./dataset/crema-d\AudioWAV\1001_IWW_FEA_XX.wav,1001_IWW_FEA_XX.wav,.wav,Crema_1001,I wonder what this is about,Male,51,Fear
34,CREMA-D,./dataset/crema-d\AudioWAV\1001_IWW_HAP_XX.wav,1001_IWW_HAP_XX.wav,.wav,Crema_1001,I wonder what this is about,Male,51,Happy
35,CREMA-D,./dataset/crema-d\AudioWAV\1001_IWW_NEU_XX.wav,1001_IWW_NEU_XX.wav,.wav,Crema_1001,I wonder what this is about,Male,51,Neutral
36,CREMA-D,./dataset/crema-d\AudioWAV\1001_IWW_SAD_XX.wav,1001_IWW_SAD_XX.wav,.wav,Crema_1001,I wonder what this is about,Male,51,Sad
37,CREMA-D,./dataset/crema-d\AudioWAV\1001_MTI_ANG_XX.wav,1001_MTI_ANG_XX.wav,.wav,Crema_1001,Maybe tomorrow it will be cold,Male,51,Anger
38,CREMA-D,./dataset/crema-d\AudioWAV\1001_MTI_DIS_XX.wav,1001_MTI_DIS_XX.wav,.wav,Crema_1001,Maybe tomorrow it will be cold,Male,51,Disgust
39,CREMA-D,./dataset/crema-d\AudioWAV\1001_MTI_FEA_XX.wav,1001_MTI_FEA_XX.wav,.wav,Crema_1001,Maybe tomorrow it will be cold,Male,51,Fear
40,CREMA-D,./dataset/crema-d\AudioWAV\1001_MTI_HAP_XX.wav,1001_MTI_HAP_XX.wav,.wav,Crema_1001,Maybe tomorrow it will be cold,Male,51,Happy
41,CREMA-D,./dataset/crema-d\AudioWAV\1001_MTI_NEU_XX.wav,1001_MTI_NEU_XX.wav,.wav,Crema_1001,Maybe tomorrow it will be cold,Male,51,Neutral
42,CREMA-D,./dataset/crema-d\AudioWAV\1001_MTI_SAD_XX.wav,1001_MTI_SAD_XX.wav,.wav,Crema_1001,Maybe tomorrow it will be cold,Male,51,Sad
43,CREMA-D,./dataset/crema-d\AudioWAV\1001_TAI_ANG_XX.wav,1001_TAI_ANG_XX.wav,.wav,Crema_1001,The airplane is almost full,Male,51,Anger
44,CREMA-D,./dataset/crema-d\AudioWAV\1001_TAI_DIS_XX.wav,1001_TAI_DIS_XX.wav,.wav,Crema_1001,The airplane is almost full,Male,51,Disgust
45,CREMA-D,./dataset/crema-d\AudioWAV\1001_TAI_FEA_XX.wav,1001_TAI_FEA_XX.wav,.wav,Crema_1001,The airplane is almost full,Male,51,Fear
46,CREMA-D,./dataset/crema-d\AudioWAV\1001_TAI_HAP_XX.wav,1001_TAI_HAP_XX.wav,.wav,Crema_1001,The airplane is almost full,Male,51,Happy
47,CREMA-D,./dataset/crema-d\AudioWAV\1001_TAI_NEU_XX.wav,1001_TAI_NEU_XX.wav,.wav,Crema_1001,The airplane is almost full,Male,51,Neutral
48,CREMA-D,./dataset/crema-d\AudioWAV\1001_TAI_SAD_XX.wav,1001_TAI_SAD_XX.wav,.wav,Crema_1001,The airplane is almost full,Male,51,Sad
49,CREMA-D,./dataset/crema-d\AudioWAV\1001_TIE_ANG_XX.wav,1001_TIE_ANG_XX.wav,.wav,Crema_1001,That is exactly what happened,Male,51,Anger
50,CREMA-D,./dataset/crema-d\AudioWAV\1001_TIE_DIS_XX.wav,1001_TIE_DIS_XX.wav,.wav,Crema_1001,That is exactly what happened,Male,51,Disgust
51,CREMA-D,./dataset/crema-d\AudioWAV\1001_TIE_FEA_XX.wav,1001_TIE_FEA_XX.wav,.wav,Crema_1001,That is exactly what happened,Male,51,Fear
52,CREMA-D,./dataset/crema-d\AudioWAV\1001_TIE_HAP_XX.wav,1001_TIE_HAP_XX.wav,.wav,Crema_1001,That is exactly what happened,Male,51,Happy
53,CREMA-D,./dataset/crema-d\AudioWAV\1001_TIE_NEU_XX.wav,1001_TIE_NEU_XX.wav,.wav,Crema_1001,That is exactly what happened,Male,51,Neutral
54,CREMA-D,./dataset/crema-d\AudioWAV\1001_TIE_SAD_XX.wav,1001_TIE_SAD_XX.wav,.wav,Crema_1001,That is exactly what happened,Male,51,Sad
55,CREMA-D,./dataset/crema-d\AudioWAV\1001_TSI_ANG_XX.wav,1001_TSI_ANG_XX.wav,.wav,Crema_1001,The surface is slick,Male,51,Anger
56,CREMA-D,./dataset/crema-d\AudioWAV\1001_TSI_DIS_XX.wav,1001_TSI_DIS_XX.wav,.wav,Crema_1001,The surface is slick,Male,51,Disgust
57,CREMA-D,./dataset/crema-d\AudioWAV\1001_TSI_FEA_XX.wav,1001_TSI_FEA_XX.wav,.wav,Crema_1001,The surface is slick,Male,51,Fear
58,CREMA-D,./dataset/crema-d\AudioWAV\1001_TSI_HAP_XX.wav,1001_TSI_HAP_XX.wav,.wav,Crema_1001,The surface is slick,Male,51,Happy
59,CREMA-D,./dataset/crema-d\AudioWAV\1001_TSI_NEU_XX.wav,1001_TSI_NEU_XX.wav,.wav,Crema_1001,The surface is slick,Male,51,Neutral
60,CREMA-D,./dataset/crema-d\AudioWAV\1001_TSI_SAD_XX.wav,1001_TSI_SAD_XX.wav,.wav,Crema_1001,The surface is slick,Male,51,Sad
61,CREMA-D,./dataset/crema-d\AudioWAV\1001_WSI_ANG_XX.wav,1001_WSI_ANG_XX.wav,.wav,Crema_1001,We'll stop in a couple of minutes,Male,51,Anger
62,CREMA-D,./dataset/crema-d\AudioWAV\1001_WSI_DIS_XX.wav,1001_WSI_DIS_XX.wav,.wav,Crema_1001,We'll stop in a couple of minutes,Male,51,Disgust
63,CREMA-D,./dataset/crema-d\AudioWAV\1001_WSI_FEA_XX.wav,1001_WSI_FEA_XX.wav,.wav,Crema_1001,We'll stop in a couple of minutes,Male,51,Fear
64,CREMA-D,./dataset/crema-d\AudioWAV\1001_WSI_HAP_XX.wav,1001_WSI_HAP_XX.wav,.wav,Crema_1001,We'll stop in a couple of minutes,Male,51,Happy
65,CREMA-D,./dataset/crema-d\AudioWAV\1001_WSI_NEU_XX.wav,1001_WSI_NEU_XX.wav,.wav,Crema_1001,We'll stop in a couple of minutes,Male,51,Neutral
66,CREMA-D,./dataset/crema-d\AudioWAV\1001_WSI_SAD_XX.wav,1001_WSI_SAD_XX.wav,.wav,Crema_1001,We'll stop in a couple of minutes,Male,51,Sad
67,CREMA-D,./dataset/crema-d\AudioWAV\1002_DFA_ANG_XX.wav,1002_DFA_ANG_XX.wav,.wav,Crema_1002,Don't forget a jacket,Female,21,Anger
68,CREMA-D,./dataset/crema-d\AudioWAV\1002_DFA_DIS_XX.wav,1002_DFA_DIS_XX.wav,.wav,Crema_1002,Don't forget a jacket,Female,21,Disgust
69,CREMA-D,./dataset/crema-d\AudioWAV\1002_DFA_FEA_XX.wav,1002_DFA_FEA_XX.wav,.wav,Crema_1002,Don't forget a jacket,Female,21,Fear
70,CREMA-D,./dataset/crema-d\AudioWAV\1002_DFA_HAP_XX.wav,1002_DFA_HAP_XX.wav,.wav,Crema_1002,Don't forget a jacket,Female,21,Happy
71,CREMA-D,./dataset/crema-d\AudioWAV\1002_DFA_NEU_XX.wav,1002_DFA_NEU_XX.wav,.wav,Crema_1002,Don't forget a jacket,Female,21,Neutral
72,CREMA-D,./dataset/crema-d\AudioWAV\1002_DFA_SAD_XX.wav,1002_DFA_SAD_XX.wav,.wav,Crema_1002,Don't forget a jacket,Female,21,Sad
73,CREMA-D,./dataset/crema-d\AudioWAV\1002_IEO_NEU_XX.wav,1002_IEO_NEU_XX.wav,.wav,Crema_1002,It's eleven o'clock,Female,21,Neutral
